Id1,Iq1,Id3,Iq3,psi_d1,psi_q1,psi_d3,psi_q3,T_fem,P_core
40,0,-40,-20,7.89065800e-02,-8.04592920e-04,-8.14158340e-03,-4.33732180e-03,0.062106,395.0816
40,0,-40,0,7.92645460e-02,-1.03418640e-07,-8.18590570e-03,2.78425450e-06,-0.001309,374.6697
40,0,-40,20,7.89010700e-02,8.10029610e-04,-8.14213730e-03,4.33652950e-03,-0.041020,396.3876
40,0,-20,-40,7.98999290e-02,-1.63666800e-03,-3.83271340e-03,-8.73656810e-03,-0.158302,420.5906
40,0,-20,-20,8.09890200e-02,-7.77423830e-04,-3.94548180e-03,-4.42354730e-03,-0.223528,358.7475
40,0,-20,0,8.13169610e-02,6.70107230e-06,-3.98906550e-03,-1.30092480e-06,0.004345,336.3177
40,0,-20,20,8.09836400e-02,7.85517030e-04,-3.94227590e-03,4.42333920e-03,0.239667,359.3212
40,0,-20,40,7.98954800e-02,1.65441440e-03,-3.83490840e-03,8.73192940e-03,0.194884,422.7565
40,0,0,-40,8.12582850e-02,-1.67842250e-03,5.40613540e-04,-8.83416320e-03,-0.169542,415.3302
40,0,0,-20,8.22630670e-02,-7.62441420e-04,4.82414360e-04,-4.50020150e-03,-0.183136,351.4556
40,0,0,0,8.25219400e-02,1.06349530e-05,4.25957250e-04,-1.46986390e-06,0.042003,326.3758
40,0,0,20,8.22587280e-02,7.78021540e-04,4.83506730e-04,4.49828510e-03,0.234475,354.6847
40,0,0,40,8.12532620e-02,1.69666560e-03,5.40856760e-04,8.82921580e-03,0.259599,420.0837
40,0,20,-40,8.18597880e-02,-1.77979370e-03,5.01367690e-03,-8.84570770e-03,0.021311,452.3917
40,0,20,-20,8.28042280e-02,-7.01505990e-04,5.02269260e-03,-4.54756930e-03,0.080386,386.9589
40,0,20,0,8.30003470e-02,6.09299330e-06,4.99085970e-03,-5.80264030e-07,0.046652,354.9243
40,0,20,20,8.27913350e-02,7.21371510e-04,5.02935430e-03,4.54280010e-03,0.043199,390.2021
40,0,20,40,8.18584580e-02,1.80475140e-03,5.01087370e-03,8.83999570e-03,0.087935,455.2850
40,0,40,-20,8.26490830e-02,-7.98754280e-04,9.56511610e-03,-4.50385300e-03,0.226762,467.8766
40,0,40,0,8.28577660e-02,1.71961740e-05,9.65209190e-03,-2.81694610e-06,0.057803,444.7034
40,0,40,20,8.26448140e-02,8.26285620e-04,9.56546200e-03,4.50186700e-03,-0.112437,471.0262
40,40,-40,-20,7.96503680e-02,1.69417810e-02,-7.92478680e-03,-1.86832600e-03,20.796692,387.4810
40,40,-40,0,7.99541080e-02,1.64680570e-02,-7.54149440e-03,1.83115410e-03,20.488380,390.5218
40,40,-40,20,8.01984380e-02,1.65276760e-02,-6.86681570e-03,5.54694530e-03,20.757242,418.9766
40,40,-20,-40,8.07476500e-02,1.70758640e-02,-4.36393260e-03,-6.20162980e-03,20.677859,384.8465
40,40,-20,-20,8.14075800e-02,1.64914650e-02,-4.07781140e-03,-2.44715100e-03,20.460458,350.7136
40,40,-20,0,8.15057560e-02,1.60159400e-02,-3.69750730e-03,1.31968330e-03,20.480213,349.0968
40,40,-20,20,8.15158070e-02,1.59204730e-02,-3.09651080e-03,5.05983080e-03,20.906451,377.2099
40,40,-20,40,8.13789570e-02,1.62706770e-02,-2.33400330e-03,8.76555630e-03,21.938351,436.4614
40,40,0,-40,8.13111230e-02,1.62363030e-02,-6.79455070e-04,-6.97702710e-03,20.320859,384.7782
40,40,0,-20,8.21414620e-02,1.58466170e-02,-2.34750940e-04,-3.19047040e-03,20.208322,344.5091
40,40,0,0,8.23581280e-02,1.55725450e-02,2.70013490e-04,6.44118980e-04,20.417846,335.2424
40,40,0,20,8.23576910e-02,1.55042530e-02,8.76099560e-04,4.42675020e-03,21.060627,361.3752
40,40,0,40,8.21553870e-02,1.57688360e-02,1.57259790e-03,8.17600710e-03,22.162662,423.7853
40,40,20,-40,8.13241980e-02,1.56396280e-02,3.07062600e-03,-7.70446070e-03,20.207853,414.8550
40,40,20,-20,8.22813860e-02,1.53497410e-02,3.64750710e-03,-3.94663400e-03,20.200223,373.6618
40,40,20,0,8.26595910e-02,1.51701100e-02,4.24970140e-03,-1.12029640e-04,20.566308,358.0529
